6,'Bayer Leverkusen','B04',bayer-04-leverkusen-wappen.png,A,0,0
7,'Borussia Dortmund','BVB',borussia-dortmund-wappen.png,A,0,0
9,'FC Schalke 04','S04',fc-schalke-04-wappen.png,A,0,0
16,'VfB Stuttgart','VFB',vfb-stuttgart-wappen.png,A,0,0
40,'FC Bayern','FCB',fc-bayern-muenchen-wappen.png,A,0,0
54,'Hertha BSC','BSC',Hertha_BSC.png,A,0,0
65,'1. FC Köln','FCK',fc_koeln.png,A,0,0
80,'1. FC Union Berlin','UNB',unionberlin.png,A,0,0
81,'1. FSV Mainz 05','M05',fsv-mainz-05-wappen.png,A,0,0
83,'Arminia Bielefeld','ARB',arminia-bielefeld.png,A,0,0
87,'Borussia Mönchengladbach','BMG',borussia-moenchengladbach-wappen.png,A,0,0
91,'Eintracht Frankfurt','SGE',eintracht-frankfurt-wappen.png,A,0,0
95,'FC Augsburg','FCA',fc-augsburg-wappen.png,A,0,0
112,'SC Freiburg','SCF',sc-freiburg-wappen.png,A,0,0
123,'TSG 1899 Hoffenheim','HOF',tsg-1899-hoffenheim-wappen.png,A,0,0
131,'VfL Wolfsburg','WOB',vfl-wolfsburg-wappen.png,A,0,0
134,'Werder Bremen','BRE',werder-bremen-wappen.png,A,0,0
1635,'RB Leipzig','RBL',leipzig.png,A,0,0